datetime,temp,dew,humidity,sealevelpressure,precipitation,temp_EMA_3_days,humidity_lag_3_days,season_sin,season_cos,winddir_sin,winddir_cos,moisture_flux,temperature_inversion_index
2021-03-26,17.4,40.3,45.1,1016.2,0.0,18.254975875087904,49.8,0.9510565162951536,0.3090169943749474,-0.4632960351198614,-0.8862035792312148,-290.43565145629,-0.0458
2021-03-27,17.6,45.2,53.9,1016.7,0.0,17.92748793754395,47.0,0.9510565162951536,0.3090169943749474,-0.7880107536067221,-0.6156614753256581,-484.2010876611865,-0.0552
2021-03-28,17.3,46.4,56.2,1015.5,0.0,17.613743968771978,40.5,0.9510565162951536,0.3090169943749474,-0.997915618272179,-0.0645323082529576,-639.3445783146198,-0.0581999999999999
2021-03-29,17.7,47.9,58.4,1013.5,0.0,17.656871984385987,45.1,0.9510565162951536,0.3090169943749474,-0.9547607995027976,-0.297374874077786,-574.3077161169227,-0.0603999999999999
2021-03-30,19.2,49.9,57.7,1008.1,0.0,18.428435992192995,53.9,0.9510565162951536,0.3090169943749474,0.2520693582431134,-0.9677091704819712,133.80849812977434,-0.0613999999999999
2021-03-31,18.1,54.0,70.6,1005.5,0.0,18.264217996096495,56.2,0.9510565162951536,0.3090169943749474,-0.6279630576493377,0.7782431485260212,-407.87456520439775,-0.0718
2021-04-01,17.8,52.1,69.3,1007.5,9.9,18.03210899804825,58.4,0.9510565162951536,0.3090169943749474,-0.0453629881292535,-0.9989705697907147,-57.52888791563799,-0.0686
2021-04-02,17.7,41.7,49.9,1012.3,0.0,17.866054499024123,57.7,0.9510565162951536,0.3090169943749474,-0.1270646086013504,-0.9918944425900296,-88.13328317198265,-0.048
2021-04-03,18.1,32.7,38.2,1015.5,0.0,17.983027249512062,70.6,0.9510565162951536,0.3090169943749474,-0.3681245526846779,-0.9297764858882516,-179.99818128070012,-0.0292
2021-04-04,17.5,34.0,37.2,1016.0,0.0,17.74151362475603,69.3,0.9510565162951536,0.3090169943749474,0.3272178989791037,-0.944948912157531,138.76656659905834,-0.033
2021-04-05,17.4,40.1,46.1,1018.0,0.0,17.570756812378015,49.9,0.9510565162951536,0.3090169943749474,0.0314107590781286,-0.9995065603657316,18.534860716822173,-0.0454
2021-04-06,18.0,44.5,51.2,1017.3,0.0,17.785378406189007,38.2,0.9510565162951536,0.3090169943749474,-0.7954734808548958,0.6059884002657111,-374.69982842189006,-0.053
2021-04-07,19.3,49.7,56.8,1017.7,0.0,18.542689203094504,37.2,0.9510565162951536,0.3090169943749474,-0.4508775406894308,-0.8925858184521255,-207.4397389203933,-0.0608
2021-04-08,20.4,48.9,54.5,1015.4,0.0,19.47134460154725,46.1,0.9510565162951536,0.3090169943749474,-0.9751493543055632,0.2215484976194674,-855.6448009354165,-0.057
2021-04-09,19.2,46.9,54.9,1016.9,0.0,19.335672300773624,51.2,0.9510565162951536,0.3090169943749474,-0.997314477224458,0.0732381971276313,-1001.9719358330964,-0.0554
2021-04-10,19.5,43.1,48.5,1018.3,1.0,19.41783615038681,56.8,0.9510565162951536,0.3090169943749474,-0.9335804264972016,0.3583679495453004,-516.1766178103029,-0.0472
2021-04-11,20.5,39.4,38.6,1018.6,0.0,19.95891807519341,54.5,0.9510565162951536,0.3090169943749474,-0.9284858268809134,-0.3713678355502353,-290.3003786325864,-0.0378
2021-04-12,20.0,38.8,38.5,1019.3,0.0,19.979459037596705,54.9,0.9510565162951536,0.3090169943749474,-0.6225146366376194,-0.782608156852414,-359.5022026582252,-0.0375999999999999
2021-04-13,19.4,42.0,43.5,1018.1,0.0,19.68972951879835,48.5,0.9510565162951536,0.3090169943749474,0.7671651518152995,-0.6414496315691579,307.01949375648286,-0.0452
2021-04-14,20.7,46.8,48.5,1017.0,0.0,20.194864759399174,38.6,0.9510565162951536,0.3090169943749474,-0.8535507972753275,-0.5210096318405762,-426.3913007788898,-0.0521999999999999
2021-04-15,20.9,49.2,51.6,1016.0,0.0,20.547432379699583,38.5,0.9510565162951536,0.3090169943749474,-0.9432226579476012,0.3321611318837025,-1460.108674502887,-0.0566
2021-04-16,17.0,52.2,71.2,1017.1,11.9,18.773716189849797,43.5,0.9510565162951536,0.3090169943749474,0.8771461637055888,-0.4802234974431887,643.2639106151307,-0.0704
2021-04-17,18.2,54.3,72.3,1017.6,1.3,18.486858094924894,48.5,0.9510565162951536,0.3090169943749474,-0.8980275757606156,0.439939169855915,-973.9109059123876,-0.0721999999999999
2021-04-18,18.0,49.7,64.6,1017.3,0.3,18.24342904746245,51.6,0.9510565162951536,0.3090169943749474,-0.9494254776419038,0.3139924559674052,-1275.724025797873,-0.0634
2021-04-19,18.7,50.4,62.4,1013.2,7.4,18.471714523731222,71.2,0.9510565162951536,0.3090169943749474,-0.9025852843498606,-0.4305110968082951,-580.1096139573425,-0.0634
2021-04-20,20.7,50.9,56.4,1014.0,0.0,19.585857261865613,72.3,0.9510565162951536,0.3090169943749474,-0.5962248749656155,-0.8028174751911148,-504.40624422091065,-0.0603999999999999
