datetime,tempmax,tempmin,temp,dew,humidity,windspeed,winddir,sealevelpressure,cloudcover,solarenergy,precipitation,month,season,month_sin,month_cos,season_number,season_sin,season_cos,winddir_sin,winddir_cos,orographic_precipitation_potential,valley_temperature_inversion_index,urban_heat_island_effect_refined
2024-08-03,84.1,71.5,76.6,69.8,81.0,13.9,136.6,1009.5,80.6,9.5,5.6,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.6870875108044231,-0.7265746709709758,773.5918284147,0.013599999999999994,7.003499999999997
2024-08-04,82.3,69.7,76.4,69.9,81.1,13.9,206.0,1012.2,72.6,14.3,0.0,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.43837114678907746,-0.8987940462991669,-494.17141006385907,0.013,6.7862
2024-08-05,84.1,71.5,76.5,70.8,83.8,12.8,228.3,1012.1,74.3,15.2,1.0,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.7466381822853916,-0.6652303546543606,-800.8739798466025,0.011400000000000006,5.969100000000003
2024-08-06,78.7,69.7,73.1,70.3,91.6,10.3,171.0,1011.0,93.5,4.1,73.4,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.15643446504023098,-0.9876883405951377,147.59278907615712,0.005599999999999995,2.8759999999999972
2024-08-07,80.5,69.7,73.9,71.1,91.8,10.3,199.5,1011.8,86.4,9.6,25.9,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.33380685923377096,-0.9426414910921784,-315.6277376798998,0.0056000000000000225,2.9478000000000115
2024-08-08,82.3,69.7,73.3,71.4,94.3,8.1,176.8,1012.7,88.0,14.2,20.8,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.05582150499316356,-0.998440764181981,42.63814015892812,0.003799999999999983,2.0326999999999917
2024-08-09,78.7,69.7,73.0,71.1,94.3,9.2,149.3,1013.6,88.0,12.1,5.1,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.5105429179116054,-0.8598522715968736,442.92661386339233,0.0038000000000000113,2.033600000000006
2024-08-10,78.7,69.7,73.7,70.2,89.5,8.1,189.5,1012.3,88.5,7.4,0.8,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.16504760586067743,-0.9862856015372314,-119.6512618686981,0.007,3.6273
2024-08-11,78.7,69.7,73.1,71.4,94.8,10.3,175.6,1011.8,89.0,6.3,29.0,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.07671902812681887,-0.9970527522269202,74.91152782415102,0.0033999999999999773,1.8217999999999885
2024-08-12,80.5,71.5,75.3,71.3,88.3,12.8,211.7,1012.4,88.0,15.3,22.2,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.5254716510722675,-0.8508111094240514,-593.9090789079196,0.008,4.1324
2024-08-13,84.1,71.5,75.1,71.6,90.3,13.9,188.0,1013.5,83.8,12.0,15.2,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.13917310096006552,-0.9902680687415703,-174.68590113204542,0.007,3.6755000000000004
2024-08-14,84.1,69.7,75.6,70.7,85.9,39.1,113.5,1014.2,89.5,8.4,14.7,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.917060074385124,-0.39874906892524614,3080.1205012365726,0.009799999999999982,5.019199999999991
2024-08-15,85.9,71.5,75.6,69.6,82.9,19.7,187.4,1013.2,81.7,19.4,1.3,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.12879559657756262,-0.9916711623830905,-210.33995263871486,0.012,6.1962
2024-08-16,84.1,66.1,75.0,68.7,81.9,11.4,224.1,1012.7,72.8,19.3,1.8,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.6959127965923143,-0.7181262977631889,-649.7459416663803,0.012599999999999995,6.584699999999998
2024-08-17,85.9,69.7,76.8,70.3,82.0,12.8,228.2,1013.5,76.9,21.2,13.7,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,-0.7454759996828622,-0.6665324702494525,-782.4516092671322,0.013,6.7445
2024-08-18,84.1,67.9,74.3,69.9,88.0,12.8,128.9,1014.9,88.3,17.1,27.7,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.7782431485260211,-0.6279630576493378,876.6130824997101,0.008799999999999983,4.531899999999991
2024-08-19,82.3,69.7,74.1,70.7,90.4,10.3,163.4,1013.3,88.0,17.6,7.9,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.28568836740497344,-0.9583225744651332,266.0101526581189,0.006799999999999983,3.5332999999999917
2024-08-20,78.7,67.9,72.3,69.9,92.5,9.2,66.9,1014.1,88.0,2.9,6.9,8,Monsoon,-0.8660254037844384,-0.5000000000000004,3,-0.587785252292473,-0.8090169943749476,0.9198214973217377,0.39233711660356135,782.7680942207987,0.004799999999999983,2.5340999999999916
